ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"Natural Language Processing, Machine Learning","Enables residents to live well, independently and safely in their homes. Supports proactive and preventative care through monitoring daily routines and detecting unusual changes. Provides timely support and prevents crises such as falls. Delivers financial benefits to the Council.",28/01/2025,asc.provider@sutton.gov.uk,London Borough of Sutton,gov.uk,People Services and Commissioning Directorates,,"AI-powered care system for independent living, proactive care, and fall prevention in London Borough of Sutton.",https://www.gov.uk/algorithmic-transparency-records/london-borough-of-sutton-access-assure-technology-enabled-care,live,"Access Assure, Technology Enabled Care (TEC)",Health AI
"Machine Learning, Other","30% reduction in missed appointments, £27.5 million estimated annual savings for Mid and South Essex NHS Foundation Trust, 377 DNAs prevented and 1,910 additional patients seen during 6-month pilot",14/03/2024,,NHS England,gov.uk,Deep Medical,,AI software predicts likely missed appointments using algorithms and anonymized data to arrange convenient appointment times.,https://www.england.nhs.uk/2024/03/nhs-ai-expansion-to-help-tackle-missed-appointments-and-improve-waiting-times/,live,Deep Medical AI,Predictive Analytics
"Machine Learning, Natural Language Processing, Computer Vision",Accelerate the testing and evaluation of AI in the NHS to benefit patients with faster and more personalised diagnosis and greater efficiency in screening services.,16/06/2021,,NHS,gov.uk,Department of Health and Social Care,,"£36 million boost for AI technologies in NHS care, 38 new AI projects across various healthcare applications.",https://www.gov.uk/government/news/36-million-boost-for-ai-technologies-to-revolutionise-nhs-care,live,NHS AI Lab AI in Health and Care Award,Health AI
Computer Vision,Detects drivers using mobile phones and not wearing seatbelts to improve road safety and reduce accidents,,info@nationalhighways.co.uk,National Highways,UK,National Highways,,Trial ends March 2025. Uses AI to analyze images of passing motorists for mobile phone use and seatbelt violations.,https://nationalhighways.co.uk/about-us/privacy-notice/mobile-phone-and-seatbelt-detection-trial-ends-march-2025-privacy-notice/,pilot,Mobile Phone and Seatbelt Detection Trial,Vision AI
Not AI,"Increases transparency and public confidence in AI use, provides best practices, ensures ethical and responsible AI adoption",28/03/2024,,Scottish Government,gov.scot,Scottish Government,,Scotland is becoming the first part of the UK to make public sector AI use registration mandatory.,https://www.gov.scot/news/increasing-ai-transparency/,live,Scottish AI Register,Not AI
"Computer Vision, Machine Learning","Automates mapping of peatland surface features across England's uplands using AI, providing comprehensive and repeatable monitoring of peatland damage and restoration. Saves time and resources compared to manual mapping methods.",19/03/2025,anne.williams@naturalengland.org.uk,Natural England,gov.uk,Natural England,,AI4Peat project for mapping peatland features using AI. Outputs to be published as part of England Peat Map in spring 2025.,https://naturalengland.blog.gov.uk/2025/03/19/ai4peat-innovative-use-of-ai-to-map-and-restore-our-precious-peatlands/,pilot,AI4Peat,Vision AI
"Computer Vision, Natural Language Processing, Machine Learning","Provides lessons on designing and implementing real-world evaluations of AI technologies in healthcare settings. Insights cover evaluation scoping, design, implementation, and dissemination of findings.",16/10/2024,,NHS England,NHS England,NHS AI Lab,,Summarizes lessons from evaluations of 13 Phase 4 AI technologies funded through the AI in Health and Care Award (2020-2024).,https://www.england.nhs.uk/long-read/planning-and-implementing-real-world-ai-evaluations-lessons-from-the-ai-in-health-and-care-award/,live,AI in Health and Care Award Evaluations,Health AI
Computer Vision,To assist clinicians in the detection of COVID-19 in chest x-rays,,,University Hospitals of North Midlands NHS Trust,gov.uk,,,Information extracted from FOI response letter dated 30 July 2021,https://www.uhnm.nhs.uk/media/hzvmgtpw/20210730-foi-response-letter-artificial-intelligence-final-ref-173-2122.pdf,live,C-Detect,Health AI
"Large Language Model, generativeAI, Retrieval Augmented Generation","The tool is designed to save teachers time when preparing lessons. The specific benefits are the speed at which Aila can generate full lesson plans, being able to use Oak's corpus of lessons as a starting point, and the ability to ask Aila to personalise the lesson in ways that might normally take a significant amount of time (such as lowering the literacy level, adding or removing content, or changing context to make it more relevant to a school's geographic location.)",17/12/2024,help@thenational.academy,Oak National Academy,gov.uk,Product and Engineering,,AI Lesson Assistant for UK teachers. Uses GPT-4 and Cohere Rerank to generate personalized lesson plans.,https://www.gov.uk/algorithmic-transparency-records/oak-national-academy-aila-oaks-ai-lesson-assistant,pilot,Aila (Oak's AI Lesson Assistant),Other
"Machine Learning, Other","Easing the impact of roadworks for drivers, businesses and local communities through innovative technologies",06/12/2023,,National Highways,cp.catapult.org.uk,National Highways,,Three winners selected for AI-powered roadworks innovation. Trials start January 2024 to improve planning and management.,https://cp.catapult.org.uk/news/national-highways-announces-winners-of-roadworks-innovation-competition/,planned,Roadworks Innovation Competition Winners,Decision Support
Not AI,Improves transparency of AI use across the health and social care sector for patients and staff. Supports safe and ethical adoption of AI technology to improve patient care.,19/09/2024,,Welsh Government,gov.wales,AI Commission for Health and Social Care,,AI Commission endorsed ATRS for health and social care in Wales to improve AI transparency.,https://www.gov.wales/ai-commission-health-and-social-care-endorses-algorithmic-transparency-recording-standard-atrs,live,Algorithmic Transparency Recording Standard (ATRS),Not AI
Machine Learning,"Provides a wider view of EPCs across Wales to support policy development for fuel poverty, energy strategy, and green initiatives",07/05/2025,DataScienceUnit@gov.wales,Welsh Government,wales.gov,"Data Science Unit, Welsh Government",,"Blog post by Joseph HC, Data Science Unit, Welsh Government",https://digitalanddata.blog.gov.wales/2025/05/07/predicting-energy-efficiency-across-all-welsh-homes/,pilot,Energy Efficiency Prediction Model,Predictive Analytics
"Natural Language Processing, Other","The Digital assistant is available 24 hours, 7 days a week, 365 days a year. It contains over 1,500 sample phrases recognising 1000s+ user phrases / questions and has coverege of 60 of HMRC's 120+ taxes. In 2024 (1 Jan - 31 Dec) the DA was accessed 5.48+ million times, representing substantial public savings & freeing up adviser time to handle more complex cases with users. It includes the ability to print and save transcripts of DA and webchat chats so the user can refer back to them at a later time. Any urls given to the user as part of the answer stay active in a saved pdf.",26/06/2025,,HM Revenue & Customs,gov.uk,Chief Digital Product Office,,"HMRC's online chatbot provides 24/7 support, covering 60+ taxes, handling millions of inquiries annually.",https://www.tax.service.gov.uk/ask-hmrc/hmrc-digital-assistant,live,Ask HMRC Online Chatbot Digital Engagement Product (DEP),Conversational AI
